Room,Name,Age,Expenditure,Cuisine
A1,Shilpa,18,1876,Indian
A2,Jaspreet,32,1762,American
A3,Dominic,19,2009,Indian
A4,Ahmad,22,1792,American
A5,Joseph,28,2321,Indian
A6,Saju,31,3109,Indian
A7,Monica,48,1654,Chinese
A8,Preeti,67,1329,American
A9,Emma,24,1782,Indian
A10,Gaurav,29,1282,Chinese
A11,Abhijit,27,2998,Indian
A12,Ryan,23,1532,Indian
A13,Travis,27,1222,Indian
A14,Sonu,31,1763,American
A15,Gopal,58,1453,Indian
A16,Vismaya,28,2671,Chinese
B1,Gurleen,32,1762,Indian
B2,Aniket,73,1643,Indian
B3,Nicole,19,1553,Chinese
B4,Abhilash,27,2081,American
B5,Abdul,33,2109,Indian
B6,Prakash,81,1109,Indian
B7,Usha,45,987,American
B8,Rahul,27,1921,Chinese
B9,Phoebe,26,1004,Chinese
B10,Arun,22,1542,Indian
B11,Sumail,25,2174,Indian
B12,Valentino,27,1392,Indian
B13,Katie,36,1402,American
B14,Jeremy,26,1003,Indian
B15,Salman,29,965,Indian
B16,Anand,25,1210,Chinese
