Employee ID,Name,Department,Compensation,Rating
18726,Tom,Sales,865212,4
20016,Gautam,Content,734732,5
31054,Devaki,Sales,781113,3
35363,Oliver,Technology,800212,4
37629,Manisha,Editing,754871,4
37654,Jenny,Content,1176526,5
38801,Mahadev,Content,791094,4
40196,Rohan,Content,991872,5
41126,Emily,Technology,837271,4
42871,Zohaib,Editing,409821,2
43328,Aneesha,Sales,611783,5
50898,Catherine,Technology,1109013,4
52432,Diwakar,Content,926741,4
53648,Richa,Technology,1261175,5
67754,Habib,Sales,655730,4
70105,Donald,Sales,1376907,5
72186,Ganesh,Content,1510872,5
76683,Farhaan,Editing,1095362,4
80157,Nishanth,Sales,1011783,5
87657,Gerald,Content,585037,3
