AID,Name,English,Mathematics,Programming
2021001,Anirudh,77,91,85
2021002,Kamala,73,74,80
2021003,Pramod,45,43,55
2021004,Alisha,65,29,63
2021005,Taufeeq,81,32,76
2021006,Gerald,92,54,80
2021007,Faizal,95,43,75
2021008,Sitara,85,75,70
2021009,Gurpreet,73,30,67
2021010,Ramesh,48,42,50
2021011,Erwin,49,37,55
2021012,Jacob,55,48,60
2021013,Amrita,39,87,58
2021014,David,84,68,49
2021015,Nazma,32,56,35
2021016,Mohit,59,95,49
2021017,Rahul,72,63,40
2021018,Jacqueline,95,78,70
2021019,Romero,44,90,95
2021020,Trisha,42,94,85
2021021,Yeshvant,29,42,30
2021022,John,79,84,79
2021023,Hussain,56,51,60
2021024,Murali,84,40,55
2021025,Venkat,64,27,71
2021026,Roma,48,38,72
2021027,Sanjana,41,87,75
2021028,Gayatri,94,98,96
2021029,Wendy,41,53,52
2021030,Chandra,40,36,39
2021031,Stan,58,28,44
2021032,Adam,67,32,51
2021033,Edward,77,35,47
2021034,Hope,80,64,68
2021035,Sumitra,40,58,54
2021036,Rupa,35,47,48
2021037,Timothy,30,37,33
2021038,Ishwar,63,35,47
2021039,Abdullah,54,47,49
2021040,Zubair,63,84,74
2021041,Eric,48,47,50
2021042,Rupert,68,73,78
2021043,Gita,88,88,80
2021044,Hubert,75,90,74
2021045,Rose,34,30,44
2021046,Innocence,45,25,48
2021047,Jaya,39,73,57
2021048,Inzamam,42,82,77
2021049,Payal,74,71,75
2021050,Suresh,50,42,49
